Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-578,2022-11-15 17:36:48,0.9236769080162048,"[""fractional 0.5"",""fine-tuning""]",0.9231197834014893,3.0,128.0,227,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11'],5385.0,14360.0,0.0043136284502137915,895.0
BCMAC-577,2022-11-15 01:27:17,0.9582172632217407,"[""fine-tuning"",""15 min finetune""]",0.9428040981292725,3.0,128.0,239,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9'],5385.0,14360.0,0.007270199832691571,14360.0
BCMAC-576,2022-11-15 01:23:15,0.8709377646446228,"[""fine-tuning"",""15 min finetune""]",0.8685236573219299,3.0,128.0,240,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0'],5385.0,14360.0,0.006678808546929193,14360.0
BCMAC-575,2022-11-15 01:19:16,0.9481894373893738,"[""fine-tuning"",""15 min finetune""]",0.9346332550048828,3.0,128.0,238,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37'],5385.0,14360.0,0.005296326698580334,14360.0
BCMAC-574,2022-11-15 01:15:17,0.9500464200973511,"[""fine-tuning"",""15 min finetune""]",0.9487465023994446,3.0,128.0,238,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.00825924641683624,14360.0
BCMAC-573,2022-11-15 01:11:14,0.8830083608627319,"[""fine-tuning"",""15 min finetune""]",0.8705663681030273,3.0,128.0,241,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6'],5385.0,14360.0,0.007440657174864462,14360.0
BCMAC-572,2022-11-15 01:07:15,0.9368616342544556,"[""fine-tuning"",""15 min finetune""]",0.9355617165565491,3.0,128.0,238,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27'],5385.0,14360.0,0.004958710104071784,14360.0
BCMAC-571,2022-11-15 01:03:17,0.9619312882423401,"[""fine-tuning"",""15 min finetune""]",0.9587743878364563,3.0,128.0,237,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13'],5385.0,14360.0,0.008132464919289716,14360.0
BCMAC-570,2022-11-15 00:59:20,0.8993500471115112,"[""fine-tuning"",""15 min finetune""]",0.8945218324661255,3.0,128.0,235,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7'],5385.0,14360.0,0.008799430130659225,14360.0
BCMAC-569,2022-11-15 00:55:25,0.918662965297699,"[""fine-tuning"",""15 min finetune""]",0.9112349152565002,3.0,128.0,234,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39'],5385.0,14360.0,0.0035844799734532804,14360.0
BCMAC-568,2022-11-15 00:51:27,0.9435468912124634,"[""fine-tuning"",""15 min finetune""]",0.9320334196090698,3.0,128.0,237,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1'],5385.0,14360.0,0.007735463806882237,14360.0
BCMAC-567,2022-11-15 00:47:31,0.8967502117156982,"[""fine-tuning"",""15 min finetune""]",0.8900650143623352,3.0,128.0,234,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16'],5385.0,14360.0,0.007747387203205935,14360.0
BCMAC-566,2022-11-15 00:43:38,0.9400185942649841,"[""fine-tuning"",""15 min finetune""]",0.9333333373069763,3.0,128.0,231,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11'],5385.0,14360.0,0.005001868102557161,14360.0
